id,destination_id,category_id,created_at
345,127,7,2023-12-11 08:55:03.293976+00
346,127,8,2023-12-11 08:55:03.293976+00
347,127,9,2023-12-11 08:55:03.293976+00
348,128,2,2023-12-11 09:03:05.688272+00
349,128,5,2023-12-11 09:03:05.688272+00
350,128,15,2023-12-11 09:03:05.688272+00
351,129,7,2023-12-11 09:05:03.455322+00
352,129,8,2023-12-11 09:05:03.455322+00
353,129,9,2023-12-11 09:05:03.455322+00
354,129,10,2023-12-11 09:05:03.455322+00
355,130,2,2023-12-11 09:07:07.475832+00
356,130,5,2023-12-11 09:07:07.475832+00
357,130,7,2023-12-11 09:07:07.475832+00
358,131,7,2023-12-11 09:09:10.185063+00
359,131,2,2023-12-11 09:09:10.185063+00
360,132,2,2023-12-11 09:11:06.328878+00
361,132,7,2023-12-11 09:11:06.328878+00
362,133,2,2023-12-11 09:13:43.813087+00
363,133,7,2023-12-11 09:13:43.813087+00
364,133,8,2023-12-11 09:13:43.813087+00
365,134,2,2023-12-11 09:15:03.364885+00
366,135,2,2023-12-11 09:17:48.538608+00
367,135,7,2023-12-11 09:17:48.538608+00
368,136,2,2023-12-11 09:19:18.735339+00
369,136,7,2023-12-11 09:19:18.735339+00
370,90,1,2023-12-11 09:25:05.464725+00
371,90,13,2023-12-11 09:25:05.464725+00
